CATEGORIA;CATEGORIA_GN
S/A;S/A
CAFE MOLIDO;CAFE MOLIDO
PASTAS;PASTAS
SALCHICHAS Y CARNICOS EN CONSERVA;SALCHICHAS Y CARNICOS EN CONSERVA
CEREALES EN BARRA;CEREALES EN BARRA
CHOCOLATINAS;CHOCOLATINAS
PASABOCAS MANI;PASABOCAS MANI
MODIFICADORES DE LECHE RETAIL SCA;MODIFICADORES DE LECHE
VEGETALES EN CONSERVA;VEGETALES EN CONSERVA
CHOCOLATE DE MESA;CHOCOLATE DE MESA
HELADOS;HELADOS
MASAS LISTAS;MASAS LISTAS
PASABOCAS CONGELADOS;PASABOCAS CONGELADOS
PASTAS REFRIGERADAS;PASTAS REFRIGERADAS
PIZZAS REFRIGERADAS;PIZZAS REFRIGERADAS
POLLO PRECOCIDO APANADO;POLLO PRECOCIDO APANADO
PLATOS LISTOS Y CONGELADOS;PLATOS LISTOS Y CONGELADOS
CAFE SOLUBLE;CAFE SOLUBLE
GALLETAS;GALLETAS
CARNES FRIAS;CARNES FRIAS
PASABOCAS;PASABOCAS
PASABOCAS SEMILLAS;PASABOCAS SEMILLAS
NUECES;NUECES
