PRESENTACION;PRESENTACION_GN
S/A;S/A
X1;X1
X6;X6
OTROS TAMANOS;OTROS TAMANOS
X5;X5
X24;X24
X12;X12
X3;X3
X8;X8
X7;X7
CON PASAS;CON PASAS
CON SAL;CON SAL
MEZCLAS;MEZCLAS
OTROS;OTROS
RECUBIERTO;RECUBIERTO
RECUBIERTO DE CHOCOLATE;RECUBIERTO DE CHOCOLATE
BOLSA / BOLSA DE ALUMINIO;BOLSA / BOLSA DE ALUMINIO
TARRO;TARRO
SOBRE;SOBRE
LATA;LATA
BARRA;BARRA
POLVO;POLVO
CAPSULA;CAPSULA
X 10;X 10
X 20;X 20
MENOS DE X10;MENOS DE X10
X 15;X 15
X 24;X 24
X 30;X 30
X 25;X 25
X 12;X 12
X2;X2
BOLSA/PAQUETE;BOLSA/PAQUETE
FIGURA;FIGURA
CAJA;CAJA
LATA/TARRO;LATA/TARRO
TACO;TACO
X4;X4
TODAS;TODAS
CRISPETAS;CRISPETAS
EXTRUIDOS;EXTRUIDOS
MAIZ TOSTADO;MAIZ TOSTADO
PRETZELS;PRETZELS
TOCINETAS;TOCINETAS
YUCAS;YUCAS
SPECIAL;SPECIAL
SNACKS SINGLES;SNACKS SINGLES
OTRO;OTRO
20;20
10;10
24;24
30;30
MENOS DE 10;MENOS DE 10
25;25
12;12
15;15
CHOKIS;CHOKIS
OTRAS;OTRAS
SANDWICH T SABORES;SANDWICH T SABORES
LIL DUTCH MAID;LIL DUTCH MAID
YUMBO FIBRA;YUMBO FIBRA
CHIPS AHOY;CHIPS AHOY
CHOCORISAS;CHOCORISAS
BOKITAS REGULAR;BOKITAS REGULAR
SALTIN;SALTIN
KRIT;KRIT
SORBETO SIN AZUCAR;SORBETO SIN AZUCAR
OREO;OREO
CLUB EXTRA;CLUB EXTRA
SPONCH;SPONCH
DUCALES;DUCALES
BOKITAS QUESO AMARILLO;BOKITAS QUESO AMARILLO
NUTREX BRAND;NUTREX BRAND
DUX INTEGRAL;DUX INTEGRAL
CHIKY REGULAR;CHIKY REGULAR
RELLENA;RELLENA
SORBETO;SORBETO
AVENA;AVENA
MANTEQUILLA;MANTEQUILLA
MAMUT;MAMUT
COCKTAIL;COCKTAIL
MARIA;MARIA
CLUB EXTRA INTEGRAL;CLUB EXTRA INTEGRAL
MINI MAMUT;MINI MAMUT
CLUB SOCIAL INTEGRAL;CLUB SOCIAL INTEGRAL
NAVIDAD POZUELO;NAVIDAD POZUELO
RELLENAS;RELLENAS
EXTRA;EXTRA
CLUB ORO;CLUB ORO
LIBRE DE AZUCAR;LIBRE DE AZUCAR
RITZ BITS;RITZ BITS
TENTACIONES/MANTEQUILLA;TENTACIONES/MANTEQUILLA
INTENSO;INTENSO
FESTIVAL;FESTIVAL
CHIPS DELUXE;CHIPS DELUXE
VAI VAI;VAI VAI
SALTINES;SALTINES
ANIMALITOS/ZOO;ANIMALITOS/ZOO
RITZ QUESO;RITZ QUESO
CREMA SALTINES;CREMA SALTINES
SODA REGULAR;SODA REGULAR
CREMAS;CREMAS
CRISP;CRISP
PRINCIPE;PRINCIPE
CAMPECHANAS;CAMPECHANAS
WAFER;WAFER
ARCO IRIS;ARCO IRIS
TRIKI TRAKES;TRIKI TRAKES
CREMAS DE NIEVE;CREMAS DE NIEVE
CRACKERS;CRACKERS
RITZ PLAIN;RITZ PLAIN
SODA INTEGRAL;SODA INTEGRAL
ESCOLAR;ESCOLAR
CLUB SOCIAL;CLUB SOCIAL
CHEESE CRISP;CHEESE CRISP
PASITAS;PASITAS
CREMAS SURTIDAS;CREMAS SURTIDAS
EMPERADOR;EMPERADOR
HONEY BRAN;HONEY BRAN
MINI CHOKIS;MINI CHOKIS
BOKITAS QUESO PINA;BOKITAS QUESO PINA
COCO;COCO
PAN CREMA;PAN CREMA
BOKITAS QUESO BLANCO;BOKITAS QUESO BLANCO
DUX;DUX
SURTIDA;SURTIDA
LECHE;LECHE
CANAPINAS;CANAPINAS
RELLENITAS;RELLENITAS
SURTIDO NAVIDENO;SURTIDO NAVIDENO
JENJIBRE;JENJIBRE
SANDWICH SIN AZUCAR;SANDWICH SIN AZUCAR
RECREO;RECREO
SODA;SODA
CHOCOCHIPS;CHOCOCHIPS
CANASTA;CANASTA
CLUB MAX;CLUB MAX
SODA/SODITAS;SODA/SODITAS
CHOCOCHISPAS;CHOCOCHISPAS
SODA CON ESPECIES;SODA CON ESPECIES
CHOCO CREAM;CHOCO CREAM
OREO DORADA;OREO DORADA
MOLSA;MOLSA
CRACKETS SODA;CRACKETS SODA
SALTIN INTEGRAL;SALTIN INTEGRAL
CREMOSITAS;CREMOSITAS
MARIA SIN AZUCAR;MARIA SIN AZUCAR
KRAKER BRAN;KRAKER BRAN
CANELITAS;CANELITAS
BARRITAS;BARRITAS
AVENA INTEGRAL;AVENA INTEGRAL
DOBLE DELEITE;DOBLE DELEITE
SALADITAS;SALADITAS
FLORENTINAS;FLORENTINAS
DRAKIS MINI SANDWICH;DRAKIS MINI SANDWICH
BLACK OUT;BLACK OUT
BOKITAS QUESO JAMON;BOKITAS QUESO JAMON
MINI BARRITAS;MINI BARRITAS
FESTIVAL CHOCO;FESTIVAL CHOCO
MINI OREO;MINI OREO
BOKITAS FUSION;BOKITAS FUSION
PLATIVOLOS;PLATIVOLOS
SALADA;SALADA
CLUB MAX QUESO;CLUB MAX QUESO
MINI WAFER;MINI WAFER
NOCTURNO;NOCTURNO
DULCE DE LECHE;DULCE DE LECHE
FESTIVAL CHOCK;FESTIVAL CHOCK
ARROZ;ARROZ
SALMAS;SALMAS
VIENNA;VIENNA
FESTIVAL CHIPS;FESTIVAL CHIPS
MINI;MINI
BOKITAS MANTEQUILLA MANI;BOKITAS MANTEQUILLA MANI
WAFFERS;WAFFERS
CREMA;CREMA
TRADICIONALES;TRADICIONALES
TRISABOR;TRISABOR
BOKITAS CHILE LIMON;BOKITAS CHILE LIMON
COCANAS;COCANAS
FORMIS;FORMIS
MULTIPACK;MULTIPACK
TUBO;TUBO
PAQUETE;PAQUETE
BOLSA;BOLSA
MINITACO;MINITACO
BANDEJA;BANDEJA
