SEGMENTO;SEGMENTO_GN
S/A;S/A
REGULAR;REGULAR
CAPSULA/PODS;CAPSULA/PODS
PRE LISTAS;PRE LISTAS
CARNICOS EN CONSERVA;CARNICOS EN CONSERVA
SALCHICHAS EN CONSERVA;SALCHICHAS EN CONSERVA
TODOS;TODOS
BARRA AGREGADA;BARRA AGREGADA
BARRA MACIZA;BARRA MACIZA
BARRA RELLENA;BARRA RELLENA
CANDY BAR;CANDY BAR
CHUPETAS;CHUPETAS
CONFITADOS;CONFITADOS
CONFITES;CONFITES
ESTUCHES;ESTUCHES
HUEVOS DE CHOCOLATE;HUEVOS DE CHOCOLATE
MONEDAS DE CHOCOLATE;MONEDAS DE CHOCOLATE
SURTIDOS;SURTIDOS
LIQUIDO;LIQUIDO
POLVO;POLVO
CORRIENTE;CORRIENTE
LIGHT;LIGHT
CAFE;CAFE
MEZCLAS;MEZCLAS
OTROS SEGMENTOS;OTROS SEGMENTOS
PREMIUM;PREMIUM
MACARRON / MACARRONCITOS;MACARRON / MACARRONCITOS
ESPAGUETTI;ESPAGUETTI
NOODLE;NOODLE
TORNILLOS;TORNILLOS
OTROS;OTROS
FIDEO;FIDEO
RAVIOLI;RAVIOLI
BAVETTE;BAVETTE
CANELONES;CANELONES
FARFALLE;FARFALLE
FUSILLI;FUSILLI
GNOCCHI;GNOCCHI
LASAGNA;LASAGNA
PENNE RIGATE / RIGATONE;PENNE RIGATE / RIGATONE
RISONI;RISONI
TAGLIATELLE;TAGLIATELLE
TORTELLINI;TORTELLINI
ARGOLLAS / ARGOLLITAS;ARGOLLAS / ARGOLLITAS
BUCATINI;BUCATINI
CABELLO DE ANGEL;CABELLO DE ANGEL
CODITOS;CODITOS
CODOS;CODOS
CONCHAS;CONCHAS
CONCHITAS;CONCHITAS
CORBATAS;CORBATAS
GUARGUERON;GUARGUERON
LETRAS;LETRAS
LETRITAS;LETRITAS
MACARRON LARGO;MACARRON LARGO
NIDOS;NIDOS
SURTIDO;SURTIDO
TALLARIN;TALLARIN
FIGURITAS;FIGURITAS
ZOOLOGICO;ZOOLOGICO
CARACOL;CARACOL
ESTRELLITAS;ESTRELLITAS
MACARRON CORTO;MACARRON CORTO
MACARRON GRUESO;MACARRON GRUESO
CAPELLINI;CAPELLINI
FETTUCCINE;FETTUCCINE
GOBBETI;GOBBETI
LINGUINE;LINGUINE
VERMICELLI;VERMICELLI
DEPORTES;DEPORTES
ESPACIAL;ESPACIAL
PRINCESAS;PRINCESAS
ARROZ;ARROZ
PLUMA;PLUMA
BROCA;BROCA
DISNEY;DISNEY
DULCE;DULCE
SAL;SAL
WAFERS;WAFERS
DULCES INFANTILES;DULCES INFANTILES
ESPECIALIDADES SIN TEMPORADA;ESPECIALIDADES SIN TEMPORADA
WAFER;WAFER
DULCES SIMPLES;DULCES SIMPLES
SALUDABLES;SALUDABLES
TEMPORADA;TEMPORADA
CRACKERS;CRACKERS
SABORIZADAS;SABORIZADAS
CABANO;CABANO
CERVECERO Y SALAMI;CERVECERO Y SALAMI
CHORIZOS;CHORIZOS
COSTILLAS;COSTILLAS
JAMONES;JAMONES
OTRAS CERDO RES;OTRAS CERDO RES
SALCHICHAS;SALCHICHAS
SALCHICHON;SALCHICHON
TOCINETA;TOCINETA
HAMBURGUESAS;HAMBURGUESAS
MORTADELAS;MORTADELAS
BUTIFARRA;BUTIFARRA
JAMON SERRANO;JAMON SERRANO
SURTIDAS/MIXTAS;SURTIDAS/MIXTAS
ALBONDIGAS;ALBONDIGAS
GRANULADO;GRANULADO
RELLENAS;RELLENAS
SENCILLA;SENCILLA
CUBIERTA DE CHOCOLATE;CUBIERTA DE CHOCOLATE
SANDWICH;SANDWICH
SODAS;SODAS
MARIAS;MARIAS
CRACKER DE MAIZ;CRACKER DE MAIZ
CONOS Y BARQUILLOS;CONOS Y BARQUILLOS
DEPOSITADAS;DEPOSITADAS
GALLETAS DE ARROZ;GALLETAS DE ARROZ
TEMPORADAS DULCES;TEMPORADAS DULCES
TEMPORADAS SALADAS;TEMPORADAS SALADAS
