FABRICANTE;FABRICANTE_GN;sug_token_set;sug_partial;sug_token_sort;sug_ratio
SUPER XTRA;;('IND SUPER DE ALIMENTOS', 67);('IND SUPER DE ALIMENTOS', 70);('SUPERVALU', 63);('SUPER CARNES', 64)
BUDS BEST COOKIES INC;;('BUDS BEST COOKIES', 100);('BUDS BEST COOKIES', 100);('BUDS BEST COOKIES', 89);('BUDS BEST COOKIES', 89)
STEVE ANDYS;;('BRAND CASTLE', 61);('S/A', 67);('BRAND CASTLE', 61);('BETTER BRANDS', 58)
MAFAM;;('INDUSTRIAS MAFAM', 100);('INDUSTRIAS MAFAM', 100);('IND MAFAM', 71);('IND MAFAM', 71)
COLUSSI SPA;;('COLUSSI', 100);('COLUSSI', 100);('COLUSSI', 78);('COLUSSI', 78)
THINSTERS;;('MRS THINSTERS', 100);('MRS THINSTERS', 100);('MRS THINSTERS', 82);('MRS THINSTERS', 82)
MUNCH KING;;('MC CAIN', 59);('BINGO', 67);('MC CAIN', 59);('MC CAIN', 59)
LOTUS;;('LOTUS BAKERY', 100);('LOTUS BAKERY', 100);('OTROS', 60);('OTROS', 60)
ASSOCIATED BRANDS;;('AWG BRANDS', 75);('AWG BRANDS', 70);('BETTER BRANDS', 60);('PANOS BRANDS', 62)
SIETE FOODS;;('BHU FOODS', 71);('ITAL FOOD', 78);('ITAL FOOD', 70);('MASTERFOODS', 73)
LIBERTY GOLD FRUIT COMPANY;;('LIBERTY GOLD FRUIT', 100);('LIBERTY GOLD FRUIT', 100);('LIBERTY GOLD FRUIT', 82);('LIBERTY GOLD FRUIT', 82)
AHOLD;;('NAPOLI', 55);('CORTICELLA MOLINI E PASTIFICI', 60);('NAPOLI', 55);('NAPOLI', 55)
