SUBMARCA;SUBMARCA_GN;sug_token_set;sug_partial;sug_token_sort;sug_ratio
LIKE;;('LIGERA', 60);('LIGERA GULLON', 75);('LIGERA', 60);('LIGERA', 60)
DADDY RAYS;;('FIG BARS DADDY RAYS', 100);('FIG BARS DADDY RAYS', 100);('FIG BARS DADDY RAYS', 69);('FIG BARS DADDY RAYS', 69)
GOCCE;;('CTE', 50);('CTE', 67);('CTE', 50);('CTE', 50)
STEVE ANDYS;;('ALWAYS SAVE', 64);('DANY', 75);('ALWAYS SAVE', 64);('DIGESTIVE DYNAS', 62)
THINSTERS;;('MRS THINSTERS', 100);('MRS THINSTERS', 100);('MRS THINSTERS', 82);('MRS THINSTERS', 82)
MUNCH KING;;('KING PASCUAL', 57);('CHOKIS', 67);('CATALINA CRUNCH', 56);('MONEL INC', 53)
GRUPO REY;;('GOURMET', 50);('DUO', 67);('GOURMET', 50);('GOURMET', 50)
SIETE;;('SUITY', 60);('COCOSETTE NESTLE', 80);('SUITY', 60);('SUITY', 60)
GRAN DIA;;('GRAN CEREAL COSTA', 67);('FRUTIGRAN GRANIX', 75);('DIET RADION', 63);('GRANIX', 71)
MONCREMI;;('CREMICA', 67);('CREMICA', 83);('CREMICA', 67);('CREMICA', 67)
OATIES;;('OVALTIME', 71);('FRESAS Y CHOCOLATE', 73);('OVALTIME', 71);('OVALTIME', 71)
SHORTCAKE;;('SHORTBREAD', 63);('CRAKENA', 67);('SHORTBREAD', 63);('SHORTBREAD', 63)
BADUCCO MARIA;;('WAFER BAUDUCCO', 74);('BAUDUCCO', 88);('WAFER BAUDUCCO', 74);('BAUDUCCO', 67)
KRUMIRI;;('MINI', 55);('MINI', 75);('MINI', 55);('MINI', 55)
AVENDY;;('AVENY BRAN', 62);('AVENY BRAN NABISCO', 83);('AVENY BRAN', 62);('AVENY BRAN', 62)
OAT CRUNCH;;('CRUNCHMATER', 76);('CATALINA CRUNCH', 80);('CRUNCHMATER', 76);('CATALINA CRUNCH', 72)
GIANT HONEY GRAHAMS AHOLD;;('TEDDY GRAHAMS', 70);('S/A', 100);('TEDDY GRAHAMS', 53);('TEDDY GRAHAMS NABISCO', 61)
